"id","avg_steps_per_day","total_steps","avg_sleep_per_day","total_sleep"
1503960366,12116.7419354839,375619,360.28,9007
1644430081,7282.96666666667,218489,294,1176
1844505072,2580.06451612903,79982,652,1956
1927972279,916.129032258065,28400,417,2085
2026352035,5566.87096774194,172573,506.178571428571,14173
2320127002,4716.87096774194,146223,61,61
2347167796,9519.66666666667,171354,446.8,6702
3977333714,10984.5666666667,329537,293.642857142857,8222
4020332650,2267.22580645161,70284,349.375,2795
4319703577,7268.83870967742,225334,476.653846153846,12393
4388161847,10813.935483871,335232,403.125,9675
4445114986,4796.54838709677,148693,385.178571428571,10785
4558609924,7685.12903225806,238239,127.6,638
4702921684,8572.06451612903,265734,421.142857142857,11792
5553957443,8612.58064516129,266990,463.483870967742,14368
5577150313,8304.43333333333,249133,432,11232
6117666160,7046.71428571429,197308,478.777777777778,8618
6775888955,2519.69230769231,65512,349.666666666667,1049
6962181067,9794.8064516129,303639,448,13888
7007744171,11323.4230769231,294409,68.5,137
7086361926,9371.77419354839,290525,453.125,10875
8053475328,14763.2903225806,457662,297,891
8378563200,8717.70967741935,270249,443.34375,14187
8792009665,1853.72413793103,53758,435.666666666667,6535
